Latitude (decimal degrees):	10.738
Longitude (decimal degrees):	122.543
Elevation (m):	10
Radiation database:	PVGIS-ERA5


Slope: - deg. 
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200802:0330,619.61,821.78,80.53,29.12,2.69,0.0
20200802:0430,623.88,827.72,79.15,29.76,2.9,0.0
20200802:0530,594.91,786.37,66.18,30.16,3.38,0.0
20200802:0630,406.82,530.18,52.1,30.24,3.59,0.0
20200802:0730,204.07,269.49,37.83,29.49,3.24,0.0
20200802:0830,131.59,180.14,23.57,28.91,3.24,0.0
20200802:0930,107.27,148.37,9.37,28.75,3.31,0.0
20200802:1030,0.0,0.0,-4.66,28.25,3.1,0.0
20200802:1130,0.0,0.0,0.0,27.77,3.17,0.0
20200802:1230,0.0,0.0,0.0,27.5,2.97,0.0
20200802:1330,0.0,0.0,0.0,27.15,2.62,0.0
20200802:1430,0.0,0.0,0.0,26.88,2.48,0.0
20200802:1530,0.0,0.0,0.0,26.67,2.55,0.0
20200802:1630,0.0,0.0,0.0,26.39,2.48,0.0
20200802:1730,0.0,0.0,0.0,25.89,2.21,0.0
20200802:1830,0.0,0.0,0.0,25.36,1.93,0.0
20200802:1930,0.0,0.0,0.0,25.45,2.14,0.0
20200802:2030,0.0,0.0,0.0,25.18,2.14,0.0
20200802:2130,0.0,0.0,-2.8,24.89,1.79,0.0
20200802:2230,370.96,473.89,11.26,25.3,1.1,0.0
20200802:2330,506.66,671.08,25.47,26.85,0.62,0.0
20200803:0030,563.38,751.74,39.76,28.01,1.17,0.0
20200803:0130,530.96,705.18,54.03,28.61,1.52,0.0
20200803:0230,503.42,667.4,68.1,29.17,1.72,0.0
20200803:0330,462.02,610.05,80.73,29.53,2.0,0.0
20200803:0430,425.5,559.97,79.3,29.27,1.93,0.0
20200803:0530,453.87,593.8,66.22,29.24,2.34,0.0
20200803:0630,78.05,116.62,52.1,29.49,2.41,0.0
20200803:0730,67.74,102.49,37.82,28.06,1.79,0.0
20200803:0830,31.94,55.81,23.53,27.91,2.14,0.0
20200803:0930,65.9,97.93,9.32,27.71,1.86,0.0
20200803:1030,0.0,0.0,-4.74,27.59,1.93,0.0
20200803:1130,0.0,0.0,0.0,27.17,1.72,0.0
20200803:1230,0.0,0.0,0.0,26.63,1.59,0.0
20200803:1330,0.0,0.0,0.0,26.39,2.21,0.0
20200803:1430,0.0,0.0,0.0,26.25,2.69,0.0
20200803:1530,0.0,0.0,0.0,26.08,2.62,0.0
20200803:1630,0.0,0.0,0.0,25.88,2.34,0.0
20200803:1730,0.0,0.0,0.0,25.7,2.48,0.0
20200803:1830,0.0,0.0,0.0,25.53,2.41,0.0
20200803:1930,0.0,0.0,0.0,25.64,2.21,0.0
20200803:2030,0.0,0.0,0.0,25.5,2.34,0.0
20200803:2130,0.0,0.0,-2.84,25.43,2.76,0.0
20200803:2230,164.31,214.87,11.24,25.41,2.83,0.0
20200803:2330,431.04,548.06,25.47,25.84,2.69,0.0
20200804:0030,529.87,682.5,39.78,26.82,3.1,0.0
20200804:0130,563.66,732.87,54.08,27.95,3.24,0.0
20200804:0230,541.85,708.75,68.19,28.65,2.97,0.0
20200804:0330,475.82,623.0,80.94,29.0,2.55,0.0
20200804:0430,413.79,538.33,79.44,28.65,3.31,0.0
20200804:0530,361.58,468.26,66.26,28.61,3.72,0.0
20200804:0630,506.72,655.38,52.11,28.64,3.93,0.0
20200804:0730,357.07,457.53,37.8,28.92,5.1,0.0
20200804:0830,83.01,120.49,23.49,28.34,5.17,0.0
20200804:0930,36.44,60.76,9.26,27.42,4.07,0.0
20200804:1030,0.0,0.0,-4.81,27.03,3.1,0.0
20200804:1130,0.0,0.0,0.0,26.76,2.9,0.0
20200804:1230,0.0,0.0,0.0,26.54,3.17,0.0
20200804:1330,0.0,0.0,0.0,26.26,3.93,0.0
20200804:1430,0.0,0.0,0.0,26.09,3.66,0.0
20200804:1530,0.0,0.0,0.0,25.95,3.24,0.0
20200804:1630,0.0,0.0,0.0,25.86,3.03,0.0
20200804:1730,0.0,0.0,0.0,25.66,3.17,0.0
20200804:1830,0.0,0.0,0.0,25.47,3.24,0.0
20200804:1930,0.0,0.0,0.0,25.03,2.97,0.0
20200804:2030,0.0,0.0,0.0,24.99,2.97,0.0
20200804:2130,0.0,0.0,-2.88,25.08,3.17,0.0
20200804:2230,27.06,48.51,11.22,25.09,3.03,0.0
20200804:2330,115.27,158.76,25.47,25.57,2.69,0.0
20200805:0030,258.36,335.04,39.8,26.22,2.76,0.0
20200805:0130,403.9,521.84,54.13,27.14,3.17,0.0
20200805:0230,451.14,587.92,68.28,28.0,3.1,0.0
20200805:0330,398.01,520.22,81.14,28.91,2.69,0.0
20200805:0430,463.11,610.77,79.58,29.05,2.07,0.0
20200805:0530,515.8,683.81,66.3,29.44,1.79,0.0
20200805:0630,260.96,346.14,52.1,29.14,1.1,0.0
20200805:0730,319.12,410.07,37.77,27.58,3.24,0.0
20200805:0830,209.78,272.77,23.45,27.65,3.1,0.0
20200805:0930,64.49,95.64,9.2,27.66,3.03,0.0
20200805:1030,0.0,0.0,-4.89,27.39,2.34,0.0
20200805:1130,0.0,0.0,0.0,26.94,1.45,0.0
20200805:1230,0.0,0.0,0.0,25.9,1.38,0.0
20200805:1330,0.0,0.0,0.0,25.56,1.59,0.0
20200805:1430,0.0,0.0,0.0,25.76,0.55,0.0
20200805:1530,0.0,0.0,0.0,25.44,0.69,0.0
20200805:1630,0.0,0.0,0.0,25.21,0.97,0.0
20200805:1730,0.0,0.0,0.0,25.13,0.9,0.0
20200805:1830,0.0,0.0,0.0,25.58,0.69,0.0
20200805:1930,0.0,0.0,0.0,25.44,0.83,0.0
20200805:2030,0.0,0.0,0.0,26.15,0.14,0.0
20200805:2130,0.0,0.0,-2.91,26.02,0.55,0.0
20200805:2230,3.48,13.63,11.21,26.07,0.62,0.0
20200805:2330,21.13,41.01,25.47,25.97,0.62,0.0
20200806:0030,129.72,179.4,39.83,26.37,0.76,0.0
20200806:0130,156.75,212.98,54.18,26.84,1.17,0.0
20200806:0230,231.23,306.26,68.37,27.12,1.66,0.0
20200806:0330,177.41,239.96,81.35,27.39,2.14,0.0
20200806:0430,222.13,295.73,79.72,27.36,2.48,0.0
20200806:0530,296.88,387.39,66.33,27.57,2.9,0.0
20200806:0630,191.29,254.61,52.1,27.85,3.38,0.0
20200806:0730,65.39,99.66,37.75,28.21,3.59,0.0
20200806:0830,41.48,68.43,23.4,27.78,3.1,0.0
20200806:0930,41.86,67.82,9.14,27.55,2.69,0.0
20200806:1030,0.0,0.0,-4.98,26.93,2.83,0.0
20200806:1130,0.0,0.0,0.0,26.41,2.41,0.0
20200806:1230,0.0,0.0,0.0,26.16,2.55,0.0
20200806:1330,0.0,0.0,0.0,25.76,2.83,0.0
20200806:1430,0.0,0.0,0.0,25.36,3.31,0.0
20200806:1530,0.0,0.0,0.0,25.27,3.1,0.0
20200806:1630,0.0,0.0,0.0,25.33,3.31,0.0
20200806:1730,0.0,0.0,0.0,25.22,3.72,0.0
20200806:1830,0.0,0.0,0.0,25.16,3.24,0.0
20200806:1930,0.0,0.0,0.0,25.61,4.34,0.0
20200806:2030,0.0,0.0,0.0,25.57,4.21,0.0
20200806:2130,0.0,0.0,-2.94,25.37,4.76,0.0
20200806:2230,2.15,10.96,11.2,25.35,5.17,0.0
20200806:2330,24.27,45.17,25.48,25.42,4.9,0.0
20200807:0030,47.9,76.43,39.85,25.77,4.76,0.0
20200807:0130,154.08,206.71,54.23,25.84,4.83,0.0
20200807:0230,163.65,219.76,68.46,26.23,5.31,0.0
20200807:0330,185.5,245.72,81.55,26.34,4.76,0.0
20200807:0430,178.08,237.44,79.85,26.62,4.83,0.0
20200807:0530,223.65,291.96,66.36,26.87,5.52,0.0
20200807:0630,153.41,206.96,52.09,27.08,5.66,0.0
20200807:0730,120.95,166.83,37.71,27.43,6.76,0.0
20200807:0830,43.96,71.48,23.35,27.47,6.14,0.0
20200807:0930,70.89,103.37,9.07,27.17,5.24,0.0
20200807:1030,0.0,0.0,-5.07,26.84,4.76,0.0
20200807:1130,0.0,0.0,0.0,26.6,4.28,0.0
20200807:1230,0.0,0.0,0.0,26.4,3.93,0.0
20200807:1330,0.0,0.0,0.0,26.41,3.45,0.0
20200807:1430,0.0,0.0,0.0,26.39,3.52,0.0
20200807:1530,0.0,0.0,0.0,26.31,3.59,0.0
20200807:1630,0.0,0.0,0.0,26.35,3.86,0.0
20200807:1730,0.0,0.0,0.0,26.43,4.07,0.0
20200807:1830,0.0,0.0,0.0,26.6,4.28,0.0
20200807:1930,0.0,0.0,0.0,26.49,4.28,0.0
20200807:2030,0.0,0.0,0.0,26.11,4.34,0.0
20200807:2130,0.0,0.0,-2.98,26.12,4.21,0.0
20200807:2230,224.03,285.51,11.19,25.89,4.62,0.0
20200807:2330,437.16,547.98,25.48,26.28,5.38,0.0
20200808:0030,485.14,610.54,39.88,26.82,5.72,0.0
20200808:0130,474.7,602.3,54.28,27.34,5.31,0.0
20200808:0230,595.46,765.13,68.54,27.81,5.03,0.0
20200808:0330,621.68,797.93,81.76,28.37,5.79,0.0
20200808:0430,483.46,616.82,79.98,28.61,5.79,0.0
20200808:0530,283.39,364.08,66.38,27.4,5.93,0.0
20200808:0630,306.77,391.27,52.08,27.19,5.93,0.0
20200808:0730,271.03,346.92,37.68,27.63,6.07,0.0
20200808:0830,105.52,146.93,23.3,27.89,6.0,0.0
20200808:0930,107.95,147.97,9.0,27.65,4.9,0.0
20200808:1030,0.0,0.0,-5.16,27.4,4.28,0.0
20200808:1130,0.0,0.0,0.0,26.96,4.9,0.0
20200808:1230,0.0,0.0,0.0,25.95,4.76,0.0
20200808:1330,0.0,0.0,0.0,25.78,5.03,0.0
20200808:1430,0.0,0.0,0.0,25.79,4.34,0.0
20200808:1530,0.0,0.0,0.0,25.97,4.14,0.0
20200808:1630,0.0,0.0,0.0,25.69,4.69,0.0
20200808:1730,0.0,0.0,0.0,25.48,4.9,0.0
20200808:1830,0.0,0.0,0.0,25.55,4.41,0.0
20200808:1930,0.0,0.0,0.0,25.33,4.48,0.0
20200808:2030,0.0,0.0,0.0,25.21,4.69,0.0
20200808:2130,0.0,0.0,-3.01,25.21,4.48,0.0
20200808:2230,165.9,215.02,11.18,25.55,4.41,0.0
20200808:2330,248.44,314.71,25.49,26.02,4.83,0.0
20200809:0030,307.76,389.58,39.91,26.49,4.97,0.0
20200809:0130,198.83,259.99,54.33,27.08,5.03,0.0
20200809:0230,253.35,328.21,68.63,27.03,5.38,0.0
20200809:0330,318.75,409.67,81.97,27.51,5.72,0.0
20200809:0430,279.4,361.66,80.1,28.07,6.07,0.0
20200809:0530,297.43,383.21,66.4,28.18,5.45,0.0
20200809:0630,554.16,710.19,52.06,28.37,5.24,0.0
20200809:0730,433.33,551.61,37.64,29.5,5.93,0.0
20200809:0830,246.88,316.99,23.24,29.25,6.0,0.0
20200809:0930,98.49,136.97,8.92,28.33,5.1,0.0
20200809:1030,0.0,0.0,-5.25,27.7,4.41,0.0
20200809:1130,0.0,0.0,0.0,27.41,4.07,0.0
20200809:1230,0.0,0.0,0.0,27.31,3.86,0.0
20200809:1330,0.0,0.0,0.0,27.04,3.86,0.0
20200809:1430,0.0,0.0,0.0,26.99,3.79,0.0
20200809:1530,0.0,0.0,0.0,26.94,3.66,0.0
20200809:1630,0.0,0.0,0.0,26.87,3.52,0.0
20200809:1730,0.0,0.0,0.0,26.65,3.31,0.0
20200809:1830,0.0,0.0,0.0,26.68,2.97,0.0
20200809:1930,0.0,0.0,0.0,26.65,2.76,0.0
20200809:2030,0.0,0.0,0.0,26.59,2.83,0.0
20200809:2130,0.0,0.0,-3.03,26.56,2.69,0.0
20200809:2230,78.7,113.21,11.17,26.47,2.55,0.0
20200809:2330,223.59,290.43,25.5,27.1,2.55,0.0
20200810:0030,343.18,442.81,39.94,28.0,2.69,0.0
20200810:0130,290.97,379.83,54.38,28.52,2.48,0.0
20200810:0230,393.54,516.29,68.72,29.03,2.14,0.0
20200810:0330,390.78,515.33,82.17,29.45,1.93,0.0
20200810:0430,434.98,575.61,80.21,29.49,1.72,0.0
20200810:0530,416.23,547.83,66.41,29.91,1.79,0.0
20200810:0630,311.52,409.19,52.04,30.08,2.0,0.0
20200810:0730,106.85,152.33,37.6,29.47,1.31,0.0
20200810:0830,74.24,110.32,23.18,29.27,1.45,0.0
20200810:0930,57.09,87.22,8.84,29.15,1.1,0.0
20200810:1030,0.0,0.0,-5.35,28.93,0.28,0.0
20200810:1130,0.0,0.0,0.0,28.86,0.34,0.0
20200810:1230,0.0,0.0,0.0,28.05,0.83,0.0
20200810:1330,0.0,0.0,0.0,27.48,1.03,0.0
20200810:1430,0.0,0.0,0.0,27.93,0.83,0.0
20200810:1530,0.0,0.0,0.0,27.9,0.62,0.0
20200810:1630,0.0,0.0,0.0,27.84,0.14,0.0
20200810:1730,0.0,0.0,0.0,26.49,0.97,0.0
20200810:1830,0.0,0.0,0.0,24.95,1.38,0.0
20200810:1930,0.0,0.0,0.0,25.01,1.38,0.0
20200810:2030,0.0,0.0,0.0,24.81,1.31,0.0
20200810:2130,0.0,0.0,-3.06,24.66,1.1,0.0
20200810:2230,359.18,458.91,11.16,24.92,0.83,0.0
20200810:2330,546.36,730.81,25.52,26.29,0.34,0.0
20200811:0030,634.2,870.82,39.97,27.77,0.55,0.0
20200811:0130,671.24,918.68,54.43,28.73,1.31,0.0
20200811:0230,667.08,914.72,68.81,29.33,1.38,0.0
20200811:0330,660.01,917.32,82.38,29.9,0.9,0.0
20200811:0430,642.65,893.3,80.32,30.46,0.9,0.0
20200811:0530,627.88,877.27,66.42,30.61,0.55,0.0
20200811:0630,610.68,850.85,52.01,30.8,0.55,0.0
20200811:0730,469.24,622.36,37.55,30.82,1.79,0.0
20200811:0830,412.36,541.39,23.12,30.43,1.59,0.0
20200811:0930,246.79,325.15,8.76,30.0,0.28,0.0
20200811:1030,0.0,0.0,-5.45,28.54,0.76,0.0
20200811:1130,0.0,0.0,0.0,27.71,1.72,0.0
20200811:1230,0.0,0.0,0.0,26.84,1.52,0.0
20200811:1330,0.0,0.0,0.0,26.72,0.76,0.0
20200811:1430,0.0,0.0,0.0,26.25,2.07,0.0
20200811:1530,0.0,0.0,0.0,25.96,2.62,0.0
20200811:1630,0.0,0.0,0.0,25.75,2.21,0.0
20200811:1730,0.0,0.0,0.0,25.66,2.07,0.0
20200811:1830,0.0,0.0,0.0,25.54,2.28,0.0
20200811:1930,0.0,0.0,0.0,25.68,2.69,0.0
20200811:2030,0.0,0.0,0.0,25.65,2.62,0.0
20200811:2130,0.0,0.0,-3.08,25.41,2.83,0.0
20200811:2230,13.57,30.01,11.16,25.29,2.48,0.0
20200811:2330,84.32,121.29,25.53,25.44,2.14,0.0
20200812:0030,234.0,304.79,40.0,25.96,1.86,0.0
20200812:0130,287.7,375.01,54.49,26.77,2.0,0.0
20200812:0230,396.57,520.14,68.9,27.55,1.86,0.0
20200812:0330,333.21,440.93,82.59,27.98,1.66,0.0
20200812:0430,379.41,501.35,80.41,28.0,1.66,0.0
20200812:0530,333.11,440.56,66.42,28.02,1.31,0.0
20200812:0630,118.25,166.14,51.98,27.7,1.52,0.0
20200812:0730,117.15,163.33,37.5,27.04,1.66,0.0
20200812:0830,59.32,90.4,23.05,26.52,1.24,0.0
20200812:0930,20.09,38.7,8.68,26.15,1.52,0.0
20200812:1030,0.0,0.0,-5.56,25.8,2.07,0.0
20200812:1130,0.0,0.0,0.0,25.53,1.79,0.0
20200812:1230,0.0,0.0,0.0,25.24,2.0,0.0
20200812:1330,0.0,0.0,0.0,24.97,2.14,0.0
20200812:1430,0.0,0.0,0.0,24.87,2.14,0.0
20200812:1530,0.0,0.0,0.0,24.66,1.72,0.0
20200812:1630,0.0,0.0,0.0,24.47,1.66,0.0
20200812:1730,0.0,0.0,0.0,24.26,1.17,0.0
20200812:1830,0.0,0.0,0.0,24.29,0.9,0.0
20200812:1930,0.0,0.0,0.0,24.61,1.17,0.0
20200812:2030,0.0,0.0,0.0,24.64,0.83,0.0
20200812:2130,0.0,0.0,-3.11,25.14,2.21,0.0
20200812:2230,0.0,3.99,11.15,25.23,2.55,0.0
20200812:2330,2.82,12.3,25.54,25.26,2.83,0.0
20200813:0030,24.84,46.03,40.04,25.53,3.1,0.0
20200813:0130,53.0,83.09,54.54,25.52,2.9,0.0
20200813:0230,141.78,193.21,68.99,25.88,3.31,0.0
20200813:0330,226.17,296.13,82.79,25.97,3.79,0.0
20200813:0430,181.68,241.29,80.5,25.99,3.79,0.0
20200813:0530,264.31,342.18,66.42,26.06,3.72,0.0
20200813:0630,134.88,183.12,51.95,26.04,4.41,0.0
20200813:0730,172.78,227.82,37.45,26.47,2.76,0.0
20200813:0830,107.62,148.73,22.98,26.56,2.69,0.0
20200813:0930,46.1,72.45,8.59,26.6,2.48,0.0
20200813:1030,0.0,0.0,-5.66,26.14,2.14,0.0
20200813:1130,0.0,0.0,0.0,25.76,2.0,0.0
20200813:1230,0.0,0.0,0.0,25.49,2.0,0.0
20200813:1330,0.0,0.0,0.0,25.33,2.28,0.0
20200813:1430,0.0,0.0,0.0,25.45,2.41,0.0
20200813:1530,0.0,0.0,0.0,25.27,2.14,0.0
20200813:1630,0.0,0.0,0.0,25.44,2.14,0.0
20200813:1730,0.0,0.0,0.0,25.42,1.93,0.0
20200813:1830,0.0,0.0,0.0,25.37,1.93,0.0
20200813:1930,0.0,0.0,0.0,25.12,3.03,0.0
20200813:2030,0.0,0.0,0.0,25.05,2.76,0.0
20200813:2130,0.0,0.0,-3.13,25.02,2.55,0.0
20200813:2230,108.22,147.64,11.15,25.1,2.62,0.0
20200813:2330,228.64,294.24,25.56,25.85,2.76,0.0
20200814:0030,435.9,556.24,40.07,26.54,2.97,0.0
20200814:0130,517.34,669.44,54.6,27.23,2.97,0.0
20200814:0230,638.97,848.83,69.08,27.92,2.69,0.0
20200814:0330,643.28,854.88,82.99,28.83,2.9,0.0
20200814:0430,646.38,856.25,80.58,29.47,3.45,0.0
20200814:0530,646.75,853.84,66.41,29.97,3.86,0.0
20200814:0630,532.3,692.14,51.91,30.0,3.86,0.0
20200814:0730,449.9,581.36,37.39,29.53,2.97,0.0
20200814:0830,425.52,551.79,22.9,29.6,2.48,0.0
20200814:0930,246.79,319.86,8.5,29.1,1.72,0.0
20200814:1030,0.0,0.0,-5.77,28.16,1.45,0.0
20200814:1130,0.0,0.0,0.0,27.31,1.38,0.0
20200814:1230,0.0,0.0,0.0,27.22,0.9,0.0
20200814:1330,0.0,0.0,0.0,27.14,0.83,0.0
20200814:1430,0.0,0.0,0.0,26.78,0.55,0.0
20200814:1530,0.0,0.0,0.0,26.75,0.41,0.0
20200814:1630,0.0,0.0,0.0,26.28,0.76,0.0
20200814:1730,0.0,0.0,0.0,24.86,1.38,0.0
20200814:1830,0.0,0.0,0.0,24.56,1.45,0.0
20200814:1930,0.0,0.0,0.0,24.53,1.52,0.0
20200814:2030,0.0,0.0,0.0,24.68,1.24,0.0
20200814:2130,0.0,0.0,-3.15,24.8,0.97,0.0
20200814:2230,338.68,432.46,11.15,24.94,0.83,0.0
20200814:2330,468.95,615.86,25.58,25.66,0.34,0.0
20200815:0030,576.25,777.04,40.11,26.72,0.48,0.0
20200815:0130,622.83,850.52,54.65,27.66,0.76,0.0
20200815:0230,583.21,791.05,69.16,28.42,0.97,0.0
20200815:0330,623.66,844.59,83.18,28.82,1.45,0.0
20200815:0430,596.08,798.81,80.64,29.43,2.14,0.0
20200815:0530,593.94,788.64,66.39,29.42,2.83,0.0
20200815:0630,361.59,474.82,51.87,29.58,2.41,0.0
20200815:0730,289.47,377.33,37.33,28.56,2.21,0.0
20200815:0830,225.86,296.39,22.82,28.52,1.45,0.0
20200815:0930,94.19,133.32,8.4,28.42,1.17,0.0
20200815:1030,0.0,0.0,-5.89,28.11,1.17,0.0
20200815:1130,0.0,0.0,0.0,27.26,1.17,0.0
20200815:1230,0.0,0.0,0.0,27.07,0.9,0.0
20200815:1330,0.0,0.0,0.0,27.06,0.9,0.0
20200815:1430,0.0,0.0,0.0,26.39,1.03,0.0
20200815:1530,0.0,0.0,0.0,25.52,1.38,0.0
20200815:1630,0.0,0.0,0.0,25.33,1.59,0.0
20200815:1730,0.0,0.0,0.0,25.23,1.72,0.0
20200815:1830,0.0,0.0,0.0,25.14,1.86,0.0
20200815:1930,0.0,0.0,0.0,25.32,1.45,0.0
20200815:2030,0.0,0.0,0.0,26.05,1.03,0.0
20200815:2130,0.0,0.0,-3.17,25.08,1.38,0.0
20200815:2230,139.87,186.04,11.15,25.1,1.86,0.0
20200815:2330,394.09,505.64,25.6,26.32,1.72,0.0
20200816:0030,501.72,652.72,40.15,27.07,2.14,0.0
20200816:0130,530.54,694.7,54.71,27.7,2.07,0.0
20200816:0230,522.85,685.55,69.25,28.22,2.21,0.0
20200816:0330,488.83,636.35,83.37,28.75,2.69,0.0
20200816:0430,375.17,485.6,80.7,27.82,3.17,0.0
20200816:0530,247.43,325.14,66.37,27.86,2.34,0.0
20200816:0630,217.64,284.97,51.82,27.38,2.48,0.0
20200816:0730,337.61,436.86,37.26,28.07,2.07,0.0
20200816:0830,253.08,327.93,22.74,28.31,2.07,0.0
20200816:0930,127.26,171.24,8.3,27.09,2.62,0.0
20200816:1030,0.0,0.0,-6.0,26.81,2.21,0.0
20200816:1130,0.0,0.0,0.0,26.3,2.0,0.0
20200816:1230,0.0,0.0,0.0,25.95,2.34,0.0
20200816:1330,0.0,0.0,0.0,25.93,2.14,0.0
20200816:1430,0.0,0.0,0.0,25.86,2.9,0.0
20200816:1530,0.0,0.0,0.0,25.85,3.24,0.0
20200816:1630,0.0,0.0,0.0,25.74,3.45,0.0
20200816:1730,0.0,0.0,0.0,25.66,3.59,0.0
20200816:1830,0.0,0.0,0.0,25.31,3.59,0.0
20200816:1930,0.0,0.0,0.0,25.43,3.59,0.0
20200816:2030,0.0,0.0,0.0,25.11,3.1,0.0
20200816:2130,0.0,0.0,-3.18,25.1,2.9,0.0
20200816:2230,53.64,82.19,11.16,25.36,3.1,0.0
20200816:2330,273.22,348.33,25.62,25.75,2.83,0.0
20200817:0030,353.13,451.08,40.18,26.2,2.76,0.0
20200817:0130,307.55,398.13,54.76,26.69,2.97,0.0
20200817:0230,490.52,634.34,69.33,27.01,3.45,0.0
20200817:0330,390.87,504.06,83.56,27.69,3.66,0.0
20200817:0430,395.97,508.04,80.74,27.36,4.0,0.0
20200817:0530,349.71,449.72,66.34,27.3,4.07,0.0
20200817:0630,123.71,172.07,51.77,27.45,3.93,0.0
20200817:0730,134.15,183.04,37.19,27.35,3.59,0.0
20200817:0830,109.43,151.66,22.66,26.75,3.31,0.0
20200817:0930,14.51,31.27,8.2,26.71,3.45,0.0
20200817:1030,0.0,0.0,-6.12,26.39,2.97,0.0
20200817:1130,0.0,0.0,0.0,26.15,2.41,0.0
20200817:1230,0.0,0.0,0.0,25.66,2.41,0.0
20200817:1330,0.0,0.0,0.0,25.35,2.83,0.0
20200817:1430,0.0,0.0,0.0,25.44,2.69,0.0
20200817:1530,0.0,0.0,0.0,25.46,2.48,0.0
20200817:1630,0.0,0.0,0.0,25.44,2.62,0.0
20200817:1730,0.0,0.0,0.0,25.24,3.31,0.0
20200817:1830,0.0,0.0,0.0,25.22,3.52,0.0
20200817:1930,0.0,0.0,0.0,25.06,2.55,0.0
20200817:2030,0.0,0.0,0.0,25.26,2.97,0.0
20200817:2130,0.0,0.0,-3.19,25.0,3.24,0.0
20200817:2230,184.11,237.95,11.16,25.33,3.24,0.0
20200817:2330,211.39,273.62,25.64,25.7,3.03,0.0
20200818:0030,396.65,506.74,40.22,26.08,2.9,0.0
20200818:0130,531.08,689.83,54.82,26.65,2.97,0.0
20200818:0230,516.74,670.4,69.41,27.35,3.03,0.0
20200818:0330,500.87,646.13,83.74,27.21,3.52,0.0
20200818:0430,423.46,543.85,80.78,27.0,3.66,0.0
20200818:0530,355.07,458.5,66.31,27.32,3.59,0.0
20200818:0630,326.66,423.23,51.71,27.64,3.24,0.0
20200818:0730,294.61,380.94,37.12,27.39,2.41,0.0
20200818:0830,150.11,200.9,22.57,27.55,2.76,0.0
20200818:0930,27.16,48.24,8.1,26.32,2.48,0.0
20200818:1030,0.0,0.0,0.0,25.67,2.14,0.0
20200818:1130,0.0,0.0,0.0,25.51,2.28,0.0
20200818:1230,0.0,0.0,0.0,25.55,2.76,0.0
20200818:1330,0.0,0.0,0.0,25.56,2.69,0.0
20200818:1430,0.0,0.0,0.0,25.32,3.31,0.0
20200818:1530,0.0,0.0,0.0,25.13,3.72,0.0
20200818:1630,0.0,0.0,0.0,25.4,3.17,0.0
20200818:1730,0.0,0.0,0.0,25.37,2.62,0.0
20200818:1830,0.0,0.0,0.0,25.42,2.41,0.0
20200818:1930,0.0,0.0,0.0,25.05,1.03,0.0
20200818:2030,0.0,0.0,0.0,24.86,1.03,0.0
20200818:2130,0.0,0.0,-3.21,24.74,1.59,0.0
20200818:2230,13.86,30.28,11.17,24.82,2.28,0.0
20200818:2330,208.64,269.91,25.66,25.25,2.48,0.0
20200819:0030,368.34,471.44,40.26,26.21,2.97,0.0
20200819:0130,516.44,667.11,54.88,27.06,3.24,0.0
20200819:0230,523.1,679.84,69.49,27.73,3.31,0.0
20200819:0330,547.86,712.61,83.9,27.91,3.79,0.0
20200819:0430,296.64,383.02,80.79,27.27,4.21,0.0
20200819:0530,157.03,210.72,66.27,26.66,4.07,0.0
20200819:0630,202.29,264.93,51.65,26.43,3.52,0.0
20200819:0730,123.84,171.0,37.04,27.31,3.31,0.0
20200819:0830,85.16,122.02,22.47,26.84,3.72,0.0
20200819:0930,32.62,55.14,7.99,26.45,3.31,0.0
20200819:1030,0.0,0.0,0.0,26.01,3.1,0.0
20200819:1130,0.0,0.0,0.0,25.68,2.69,0.0
20200819:1230,0.0,0.0,0.0,25.55,2.55,0.0
20200819:1330,0.0,0.0,0.0,25.57,2.55,0.0
20200819:1430,0.0,0.0,0.0,25.54,2.55,0.0
20200819:1530,0.0,0.0,0.0,25.53,2.9,0.0
20200819:1630,0.0,0.0,0.0,25.13,3.24,0.0
20200819:1730,0.0,0.0,0.0,25.11,3.79,0.0
20200819:1830,0.0,0.0,0.0,25.1,3.86,0.0
20200819:1930,0.0,0.0,0.0,25.4,2.9,0.0
20200819:2030,0.0,0.0,0.0,25.51,2.55,0.0
20200819:2130,0.0,0.0,-3.22,25.57,2.28,0.0
20200819:2230,4.02,14.6,11.18,25.55,2.21,0.0
20200819:2330,38.49,64.28,25.68,25.76,2.28,0.0
20200820:0030,117.02,162.3,40.3,26.21,2.48,0.0
20200820:0130,155.98,210.23,54.93,26.62,3.1,0.0
20200820:0230,263.71,343.59,69.57,27.0,3.31,0.0
20200820:0330,273.06,358.19,84.06,27.88,3.72,0.0
20200820:0430,409.81,530.86,80.8,28.21,4.14,0.0
20200820:0530,322.17,418.94,66.22,28.68,4.62,0.0
20200820:0630,439.59,563.27,51.58,28.58,4.9,0.0
20200820:0730,428.71,546.29,36.96,28.63,5.03,0.0
20200820:0830,227.01,292.72,22.38,28.33,4.83,0.0
20200820:0930,135.34,181.12,7.88,27.73,3.93,0.0
20200820:1030,0.0,0.0,0.0,27.16,3.59,0.0
20200820:1130,0.0,0.0,0.0,26.62,3.72,0.0
20200820:1230,0.0,0.0,0.0,26.24,3.52,0.0
20200820:1330,0.0,0.0,0.0,26.13,2.9,0.0
20200820:1430,0.0,0.0,0.0,26.15,2.62,0.0
20200820:1530,0.0,0.0,0.0,26.07,2.55,0.0
